country1,country2,2025,2030,2035,2040
AT,CH,1200,1400,1900,2400
AT,CZ,900,1900,1900,1900
AT,DE,5400,8500,8500,8500
AT,IT,800,1300,1550,1800
BE,FR,4300,5300,5800,6300
BE,LU,680,1180,1180,1180
BE,NL,3400,4400,4400,4400
BE,DE,1000,1000,1000,1000
CH,DE,4200,5400,5400,5400
CH,FR,3300,6200,6700,7200
CH,IT,3750,3950,4950,5950
CZ,DE,2100,2600,2600,2600
CZ,PL,1400,1800,2050,2300
DE,DK,4100,4100,4100,4100
DE,FR,3300,4800,4800,4800
DE,LU,2300,2700,2700,2700
DE,NL,5000,5000,5500,6000
DE,PL,3000,3000,3000,3000
DE,SE,615,2015,2765,3515
DK,SE,2450,4150,4632.5,5115
DK,NL,700,700,700,700
FR,IT,4100,4100,4600,5100
FR,LU,380,380,380,380
PL,SE,600,1100,1350,1600
