MtC02-eq,2005,2015,2030,2040 S1,2040 S2,2040 S3,2040 LIFE,2050 S1,2050 S2,2050 S3,2050 LIFE
Total Gross GHG Emissions,4641,3914,2301,1273,943,748,740,416,413,411,360
Power and district heating,1300,1012,339,123,42,23,34,21,22,19,15
Other Energy sectors*,277,237,133,71,59,53,57,39,39,38,36
Industry (Energy),469,360,232,126,94,75,86,6,6,9,11
Domestic Transport,822,772,583,190,143,120,134,10,8,7,9
Residential and Services**,648,514,221,119,92,75,92,20,19,19,29
Industry (Non-Energy),343,233,157,139,88,14,13,7,7,7,7
Other Non-Energv sectors***,101,130,56,33,26,25,25,23,22,22,22
Intra-EU aviation,35,38,43,31,29,28,14,14,12,11,10
Intra-EU navigation,31,27,25,7,6,4,0,0,0,0,0
50% extra-EU maritime MRV,50,42,44,14,11,9,0,0,0,0,0
Agriculture****,390,385,361,351,302,271,209,249,249,249,194
Waste,155,118,87,68,55,55,55,32,32,32,0.32
C02 calibration,15,43,24,3,-1,-1,-1,0,0,0,0
Non-C02 calibration,5,2,-3,-3,-3,-3,-3,-3,-3,-3,-3
